License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17190,"Perrywood, 26040 Woodfield Rd, Damascus, 20872",26040 Woodfield Rd,Damascus,20872,147580,-77.202806305,39.284399217,06/28/2018,,1,0,26,25,4.40,1.58,5,0.20,0.24,troubled,"(39.2844, -77.2028)"
17954,"Plymouth Street, 8800",8800 Plymouth St,Silver Spring,20901,146667,-77.007625138,39.000617911,04/09/2018,,1,0,6,6,1.50,2.22,0,0.00,0.16,at-risk,"(39.0006, -77.0076)"
17174,"Avondale Street, 4530",4530 Avondale St,Bethesda,20814,146620,-77.093611399,38.985866468,04/24/2018,,1,0,4,4,5.00,1.45,0,0.00,0.25,troubled,"(38.9859, -77.0936)"
17520,"Bradford Road, 8712",8712 Bradford Rd,Silver Spring,20901,139632,-77.006861489,38.999588306,06/20/2017,,2,0,6,6,0.66,2.33,2,0.00,0.16,at-risk,"(38.9996, -77.0069)"
17554,"Wisconsin Avenue, 7347",7347 Wisconsin Ave,Bethesda,20814,146178,-77.093291439,38.983337916,03/09/2018,,1,0,5,5,3.00,1.33,0,0.00,0.20,troubled,"(38.9833, -77.0933)"
95494,Dale Apartments,524 Thayer Ave,Silver Spring,20910,142401,-77.014161573,38.993343929,08/01/2017,,1,0,26,8,4.00,2.09,0,0.50,0.00,troubled,"(38.9933, -77.0142)"
41711,Burnt Mills Crossing I I,10700 Venetia Mill Cir,Silver Spring,20901,140495,-77.00224236,39.031012931,05/23/2017,,2,0,40,10,2.30,1.48,1,0.00,0.00,at-risk,"(39.031, -77.0022)"
17817,"Greenwood Avenue, 8410",8410 Greenwood Ave,Takoma Park,20912,139519,-77.00168532,38.994918057,03/06/2017,,2,0,5,5,2.40,1.20,1,0.00,0.00,at-risk,"(38.9949, -77.0017)"
100250,Baldwin TLC,7910 Long Branch Pkwy,Takoma Park,20912,139611,-76.996453715,38.987941176,05/04/2017,,1,0,6,6,4.50,1.52,0,0.00,0.00,troubled,"(38.9879, -76.9965)"
17461,Peppertree Farm,14120 Weeping Willow Dr,Silver Spring,20906,144900,-77.06564945,39.088304805,02/14/2018,,1,0,881,450,2.28,1.53,86,0.12,0.06,troubled,"(39.0883, -77.0656)"
17019,"Maplewood Avenue, 800",800 Maplewood Ave,Takoma Park,20912,139612,-77.000682498,38.988512347,03/29/2017,,2,0,4,4,1.75,1.66,0,0.00,0.00,at-risk,"(38.9885, -77.0007)"
96373,"Plymouth Street, 8713",8713 Plymouth St,Silver Spring,20901,151006,-77.007174699,38.999991933,10/08/2018,,1,0,6,6,2.83,1.58,0,0.16,0.16,troubled,"(39.0, -77.0072)"
17522,"Houston Avenue, 905",905 Houston Ave,Takoma Park,20912,139606,-76.99976779,38.991244312,03/23/2017,,2,0,2,2,2.50,1.20,0,0.00,0.00,at-risk,"(38.9912, -76.9998)"
17788,"Greenwood Avenue, 8207",8207 Greenwood Ave,Takoma Park,20912,139484,-77.000538267,38.992177865,10/26/2017,,2,0,3,5,2.00,1.60,0,0.00,0.00,at-risk,"(38.9922, -77.0005)"
17982,"Avondale Street, 4508-4510",4508 Avondale St,Bethesda,20814,148711,-77.092630009,38.985960586,07/17/2018,,1,0,7,10,2.20,1.81,0,0.00,0.00,troubled,"(38.986, -77.0926)"
17943,Greenwood Mews,8211 Greenwood Ave,Takoma Park,20912,139531,-77.000742368,38.992554021,04/24/2017,,2,0,3,3,1.00,1.55,1,0.00,0.00,at-risk,"(38.9926, -77.0007)"
17484,"Longbranch Parkway, 7906",7906 Long Branch Pkwy,Takoma Park,20912,138304,-76.996017475,38.987707796,02/02/2017,,2,0,3,2,1.00,2.00,0,0.00,0.00,at-risk,"(38.9877, -76.996)"
18216,"Houston Avenue, 811",811 Houston Ave,Takoma Park,20912,139600,-77.000594549,38.991104282,03/23/2017,,2,0,3,3,2.33,1.42,0,0.00,0.00,at-risk,"(38.9911, -77.0006)"
17168,The Warwick,1131 University Blvd W,Silver Spring,20902,146490,-77.028661885,39.036340922,04/19/2018,,3,1,399,102,1.00,1.29,32,0.05,0.00,compliant,"(39.0363, -77.0287)"
106982,Cherry Knolls Apartment,18832 BENT WILLOW CIR,GERMANTOWN,20874,146689,0,0,08/08/2018,,3,1,300,74,0.71,0.94,33,0.01,0.04,compliant,"(0.0, 0.0)"
17628,The Verandahs Apartments,9300 Willow Creek Dr,Montgomery Village,20886,154292,0,0,05/14/2019,,1,1,185,52,2.19,1.83,6,0.15,0.00,troubled,"(0.0, 0.0)"
17279,Georgia West,8708 1St Ave,Silver Spring,20910,152880,-77.03263164,38.997727854,03/01/2019,,3,1,107,23,0.08,0.32,18,0.00,0.00,compliant,"(38.9977, -77.0326)"
17979,"Avondale Street, 4527",4527 Avondale St,Bethesda,20814,148709,-77.09346069,38.98629768,05/03/2019,,2,1,4,4,0.75,1.66,0,0.00,0.00,at-risk,"(38.9863, -77.0935)"
17761,"Dale Drive, 527",527 Dale Dr,Silver Spring,20910,153705,-77.017350993,39.00060315,03/12/2019,,2,1,10,6,0.66,0.66,2,0.00,0.00,compliant,"(39.0006, -77.0174)"
17323,"Bonifant Street, 828",828 Bonifant St,Silver Spring,20910,153883,-77.022845435,38.994720876,03/07/2019,,2,1,3,3,0.00,0.00,2,0.00,0.00,compliant,"(38.9947, -77.0228)"
17451,Rock Creek Palisades,11300 Connecticut Ave,Kensington,20895,147458,-77.077183691,39.042500128,06/12/2018,,3,1,60,17,0.52,0.39,13,0.00,0.00,compliant,"(39.0425, -77.0772)"
17195,Flower Branch Apartments,8628 Piney Branch Rd,Silver Spring,20901,149258,-76.999737821,38.99860344,08/29/2018,,3,1,362,308,1.35,1.30,104,0.07,0.08,compliant,"(38.9986, -76.9997)"
18123,"Greenwood Avenue, 8314",8314 Greenwood Ave,Takoma Park,20912,146192,-77.001498835,38.993792306,04/23/2018,,2,1,1,1,0.00,0.00,0,0.00,0.00,compliant,"(38.9938, -77.0015)"
17428,Stratford Terrace,9061 Manchester Rd,Silver Spring,20901,154238,0,0,04/26/2019,,2,1,19,22,1.22,1.27,2,0.00,0.00,compliant,"(0.0, 0.0)"
17302,Parklane Apartments,8200 Spiceberry Cir,Gaithersburg,20877,146563,-77.163426286,39.151771697,05/25/2018,,3,1,137,24,1.12,-0.41,32,0.00,0.00,compliant,"(39.1518, -77.1634)"
17268,Westchester West,3214 Hewitt Ave,Silver Spring,20906,154262,-77.064392607,39.079760287,05/20/2019,,2,1,345,85,1.45,1.47,22,0.09,0.01,compliant,"(39.0798, -77.0644)"
17596,"Nolte Avenue, 8216",8216 Nolte Ave,Silver Spring,20910,152899,-77.01352828,38.993409897,01/16/2019,,1,1,3,4,2.75,1.63,0,0.00,0.00,troubled,"(38.9934, -77.0135)"
17434,Eastern Avenue Apartments,7603 Eastern Ave,Takoma Park,20912,153884,-77.022975201,38.982497007,09/14/2017,,1,1,41,38,1.57,1.64,8,0.26,0.00,troubled,"(38.9825, -77.023)"
17308,Chateau Apartments,9727 Mt Pisgah Rd,Silver Spring,20903,149259,-76.974979357,39.016861734,09/19/2018,,3,1,399,86,0.54,0.89,48,0.02,0.02,compliant,"(39.0169, -76.975)"
95697,Sawyer Flats,9806 Mahogany Dr,Gaithersburg,20878,154240,-77.201400008,39.115079338,04/30/2019,,3,1,648,154,1.24,1.34,53,0.00,0.00,compliant,"(39.1151, -77.2014)"
17296,Cole Spring Plaza,1001 Spring St,Silver Spring,20910,150070,-77.026576801,38.999533317,10/05/2018,,3,1,268,62,0.51,1.08,29,0.01,0.01,compliant,"(38.9995, -77.0266)"
46012,The Gardens Of Traville Senior Apartment,14411 Traville Garden Cir,Rockville,20850,148552,-77.203774761,39.093333646,07/13/2018,,2,1,230,120,0.70,1.66,51,0.01,0.14,at-risk,"(39.0933, -77.2038)"
112363,The Lockwood,11431 Lockwood Dr,Silever Spring,20904,151789,0,0,11/13/2018,,1,1,111,106,2.71,1.73,24,0.24,0.15,troubled,"(0.0, 0.0)"
16472,"Garland Avenue, 7803",7803 Garland Ave,Takoma Park,20912,151787,-76.997241741,38.987716074,11/05/2018,,2,1,1,1,0.00,0.00,0,0.00,0.00,compliant,"(38.9877, -76.9972)"
17984,"Avondale Street, 4500-4502",4500 Avondale St,Bethesda,20814,148712,-77.092243079,38.985996578,07/13/2018,,2,1,7,10,1.00,2.16,2,0.00,0.00,at-risk,"(38.986, -77.0922)"
17241,Highland House,5480 Wisconsin Ave,Chevy Chase,20815,154260,-77.087511426,38.963213549,05/15/2019,,3,1,391,97,0.65,0.57,60,0.00,0.00,compliant,"(38.9632, -77.0875)"
17606,8401 Flower Avenue,8401 Flower Ave,Takoma Park,20912,153875,-77.001857718,38.994141014,03/19/2019,,2,1,6,6,0.50,1.66,0,0.00,0.00,at-risk,"(38.9941, -77.0019)"
17265,Friendly Gardens,2423 Lyttonsville Rd,Silver Spring,20910,146622,-77.05041394,39.00002645,05/22/2018,,3,1,85,22,1.36,0.99,8,0.00,0.04,compliant,"(39.0, -77.0504)"
106762,Cider Mill,18205 LOST KNIFE CIR,MONTGOMERY VILLAGE,20886,152904,-77.203234912,39.157177534,03/06/2019,,3,1,861,211,1.32,1.32,76,0.07,0.00,compliant,"(39.1572, -77.2032)"
50466,The Rothbury Apartments,20120 Rothbury Ln,Montgomery Village,20886,150518,-77.190986797,39.186178458,10/10/2018,,3,1,205,50,0.50,1.02,26,0.00,0.02,compliant,"(39.1862, -77.191)"
17536,Damascus Gardens,9829 Bethesda Church Rd,Damascus,20872,146194,-77.204350522,39.283275259,04/18/2018,,2,1,104,107,2.15,1.32,22,0.01,0.00,at-risk,"(39.2833, -77.2044)"
90163,The Park at Kingsview Village,13414 Daventry Way,Germantown,20874,154246,-77.279896177,39.158024477,11/28/2019,,2,1,325,100,1.16,1.75,12,0.00,0.00,at-risk,"(39.158, -77.2799)"
17164,Preston Place Townhouses,3710 Manor Rd,Chevy Chase,20815,146495,-77.071361025,38.99761454,05/08/2018,,3,1,67,15,0.93,1.16,4,0.00,0.06,compliant,"(38.9976, -77.0714)"
45287,Avalon At Grosvenor Station,10306 Strathmore Hall St,Rockville,20852,146198,-77.101662366,39.025829957,04/05/2018,,3,1,497,142,0.43,0.80,78,0.00,0.00,compliant,"(39.0258, -77.1017)"
17163,Chevy Chase Lake North,3710 Manor Rd,Chevy Chase,20815,147542,-77.071361025,38.99761454,07/03/2018,,3,1,67,18,0.94,1.22,7,0.00,0.05,compliant,"(38.9976, -77.0714)"
16471,Avondale Apartments,4507 Avondale St,Bethesda,20814,146618,-77.092366773,38.986430335,04/30/2018,,2,1,22,7,2.00,0.93,2,0.00,0.00,compliant,"(38.9864, -77.0924)"
17532,Tilbury Garden Apartments,7806 Tilbury St,Bethesda,20814,154225,-77.094055072,38.988815004,04/29/2019,,1,0,30,10,2.10,2.10,1,0.00,0.00,troubled,"(38.9888, -77.0941)"
17297,Colesville Towers,8811 Colesville Rd,Silver Spring,20910,153890,-77.025098984,38.999657187,04/10/2019,,2,1,259,57,1.42,1.40,13,0.03,0.00,compliant,"(38.9997, -77.0251)"
45178,Avalon At Traville,14240 Alta Oaks Dr,Rockville,20850,146172,-77.20557287,39.090964483,06/07/2018,,3,1,520,125,0.46,0.74,81,0.00,0.03,compliant,"(39.091, -77.2056)"
17953,"Plymouth Street, 8716",8716 Plymouth St,Silver Spring,20901,146666,-77.007674395,39.000458632,04/09/2018,,2,1,6,6,1.33,1.57,0,0.00,0.00,at-risk,"(39.0005, -77.0077)"
17191,White Oak Gardens,11600 Lockwood Dr,Silver Spring,20904,154235,-76.983969768,39.041917678,05/23/2019,,2,1,352,93,1.63,1.39,22,0.08,0.02,compliant,"(39.0419, -76.984)"
18218,"Garland Avenue, 8002",8002 Garland Ave,Takoma Park,20912,151015,-76.998986721,38.989676503,12/07/2018,,1,0,3,5,14.40,2.37,0,0.20,0.00,troubled,"(38.9897, -76.999)"
17395,Glen Dorra,4998 Battery Ln,Bethesda,20814,146497,-77.101415528,38.991584747,05/07/2018,,2,1,95,23,1.04,1.47,6,0.00,0.00,compliant,"(38.9916, -77.1014)"
17324,"Garland Avenue, 7900",7900 Garland Ave,Takoma Park,20912,151794,-76.998444926,38.988539783,11/05/2018,,2,1,3,1,0.00,0.00,0,0.00,0.00,compliant,"(38.9885, -76.9984)"
17709,Crystal Springs,14301 Georgia Ave,Silver Spring,20906,152903,-77.078078643,39.091210319,03/07/2019,,1,1,435,103,2.45,1.72,13,0.15,0.00,troubled,"(39.0912, -77.0781)"
17790,"Glenville Road, 8809",8809 Glenville Rd,Silver Spring,20901,154036,-76.996530481,38.99995089,04/17/2019,,1,1,4,5,6.80,2.08,0,0.40,0.00,troubled,"(39.0, -76.9965)"
17981,"Avondale Street, 4504-4506",4504 Avondale St,Bethesda,20814,148710,-77.092415395,38.985980004,07/13/2018,,3,1,7,10,1.50,1.30,3,0.00,0.00,compliant,"(38.986, -77.0924)"
17325,Rollingwood,2535 Ross Rd,Silver Spring,20910,152887,-77.054706218,38.996017308,04/03/2019,,1,1,283,270,2.02,1.51,66,0.13,0.01,troubled,"(38.996, -77.0547)"
17641,The Villages At Decoverly,9901 Gable Ridge Ter,Rockville,20850,147536,-77.205216312,39.108397667,07/12/2018,,3,1,564,139,0.43,0.70,84,0.00,0.01,compliant,"(39.1084, -77.2052)"
90462,"Plymouth Street, 8705",8705 Plymouth St,Silver Spring,20901,154285,-77.007413861,38.999332942,04/26/2019,,2,1,6,6,0.50,2.00,0,0.00,0.00,at-risk,"(38.9993, -77.0074)"
17187,Blair House,8201 16Th St,Silver Spring,20910,153888,-77.03455354,38.991955836,04/11/2019,,1,1,313,74,2.10,1.82,5,0.05,0.02,troubled,"(38.992, -77.0346)"
17276,Halpine View,13013 Crookston Ln,Rockville,20851,147619,-77.111285875,39.068674487,09/12/2018,,3,1,562,147,0.78,1.15,74,0.01,0.06,compliant,"(39.0687, -77.1113)"
17300,Fields Of Bethesda,5079 Bradley Blvd,Bethesda,20815,153882,-77.100363962,38.977849147,04/25/2019,,3,1,369,80,0.45,0.99,46,0.00,0.03,compliant,"(38.9778, -77.1004)"
17310,University Manor,820 University Blvd E,Silver Spring,20903,152897,-76.992887387,38.995160358,03/20/2019,,3,1,136,133,1.81,1.38,33,0.17,0.03,compliant,"(38.9952, -76.9929)"
17368,Waterford Tower,14000 Castle Blvd,Silver Spring,20904,154220,-76.942110343,39.085881727,05/10/2019,,2,1,143,36,1.16,1.83,9,0.02,0.00,at-risk,"(39.0859, -76.9421)"
79327,Elms At Clarksburg Village,12200 Elm Forest Ct,Clarksburg,20871,152131,-77.252121492,39.228712906,12/13/2018,,3,1,450,88,0.23,0.30,74,0.00,0.00,compliant,"(39.2287, -77.2521)"
38968,Pinnacle Town Center,19860 Century Blvd,Germantown,20874,154249,-77.2648362,39.182333326,05/02/2019,,3,1,328,86,0.69,1.01,41,0.00,0.00,compliant,"(39.1823, -77.2648)"
17462,"Flower Avenue, 7905",7905 Flower Ave,Takoma Park,20912,153877,-77.000696603,38.988850055,03/19/2019,,2,1,3,1,1.00,1.00,0,0.00,0.00,compliant,"(38.9889, -77.0007)"
18011,Falkland Chase West,8305 16Th St,Silver Spring,20910,146202,-77.036275061,38.992761727,04/13/2018,,3,1,121,34,0.85,1.07,12,0.00,0.02,compliant,"(38.9928, -77.0363)"
17460,"Garland Avenue, 7909",7909 Garland Ave,Takoma Park,20912,150996,-76.9982233,38.989220722,11/01/2018,,1,1,3,3,3.00,2.22,0,0.00,0.00,troubled,"(38.9892, -76.9982)"
17972,Rock Creek Woods,13206 Twinbrook Pkwy,Rockville,20851,154289,-77.113312616,39.071904655,04/16/2019,,3,1,269,67,0.76,1.10,28,0.05,0.02,compliant,"(39.0719, -77.1133)"
17555,Stonecreek Club Apartments,12840 Locbury Cir,Germantown,20874,152165,-77.264889792,39.186186033,05/11/2019,,2,1,240,59,0.86,1.65,16,0.05,0.01,at-risk,"(39.1862, -77.2649)"
88897,Avery Park Apartments,1801 Hampshire Green Ln,Silver Spring,20903,154495,-76.973864306,39.015611161,05/21/2019,,1,1,294,77,2.16,1.69,14,0.09,0.00,troubled,"(39.0156, -76.9739)"
17284,"Silver Spring Avenue, 761",761 Silver Spring Ave,Silver Spring,20910,150069,-77.021739787,38.992074266,09/28/2018,,2,1,3,4,0.50,2.00,0,0.00,0.00,at-risk,"(38.9921, -77.0217)"
17815,"Avondale Street, 4515",4515 Avondale St,Bethesda,20814,148708,-77.092897865,38.986366738,08/01/2018,,3,1,4,4,0.50,0.75,2,0.00,0.00,compliant,"(38.9864, -77.0929)"
58698,"Garland Avenue, 8008",8008 Garland Ave,Takoma Park,20912,154049,-76.999134458,38.990104832,04/26/2019,,2,1,3,3,0.66,2.00,0,0.00,0.00,at-risk,"(38.9901, -76.9991)"
108368,Villaflores,8810 BRADFORD RD,SILVER SPRING,20901,154231,0,0,04/04/2019,,3,1,6,6,1.33,0.75,3,0.00,0.00,compliant,"(0.0, 0.0)"
18161,"Garland Avenue, 8005",8005 Garland Ave,Takoma Park,20912,150994,-76.998578596,38.989931875,09/13/2018,,1,0,3,4,2.50,2.44,0,0.00,0.50,troubled,"(38.9899, -76.9986)"
90173,"Flower Avenue, 8101",8101 Flower Ave,Takoma Park,20912,139533,-77.001083611,38.98988247,03/16/2017,,2,0,6,6,1.50,2.00,0,0.00,0.00,at-risk,"(38.9899, -77.0011)"
17810,"Plymouth Street, 8711",8711 Plymouth St,Silver Spring,20901,146662,-77.007227439,38.999835417,05/02/2018,,1,0,6,6,1.66,1.90,0,0.00,0.16,at-risk,"(38.9998, -77.0072)"
18236,Prospect House,921 Prospect St,Takoma Park,20912,138382,-76.997818659,38.989393713,04/06/2017,,2,0,4,2,1.50,2.33,0,0.00,0.00,at-risk,"(38.9894, -76.9978)"
17437,"Plymouth Street, 8717",8717 Plymouth St,Silver Spring,20901,146628,-77.00710786,39.000189616,05/07/2018,,1,0,4,4,2.50,1.30,2,0.25,0.50,troubled,"(39.0002, -77.0071)"
17769,"Glenville Road, 8801",8801 Glenville Rd,Silver Spring,20901,139630,-76.99699497,38.999618675,04/12/2017,,2,0,4,4,2.00,1.66,0,0.00,0.00,at-risk,"(38.9996, -76.997)"
17293,Earle Manor I,10820 Georgia Ave,Silver Spring,20902,139629,-77.049665493,39.033264862,03/29/2017,,1,0,80,22,4.18,1.51,3,0.27,0.04,troubled,"(39.0333, -77.0497)"
17564,Bethesda Hill,5114 Dudley Ln,Bethesda,20814,146549,-77.102675961,39.014175268,04/10/2018,,3,1,194,52,1.30,1.41,10,0.00,0.05,compliant,"(39.0142, -77.1027)"
50688,"Garland Avenue, 8304",8304 Garland Ave,Takoma Park,20912,154050,-77.000615691,38.99335579,04/05/2019,,1,1,6,6,2.16,1.76,0,0.33,0.00,troubled,"(38.9934, -77.0006)"
17766,"Greenwood Avenue, 8500",8500 Greenwood Ave,Takoma Park,20912,139520,-77.001745157,38.995055368,03/23/2017,,1,0,5,5,2.20,2.00,0,0.00,0.00,troubled,"(38.9951, -77.0017)"
17632,The Point At Germantown,2 Observation Ct,Germantown,20876,154253,-77.24749447,39.192139826,04/17/2019,,2,1,218,50,1.54,1.52,19,0.02,0.00,at-risk,"(39.1921, -77.2475)"
17623,"Kennebec Avenue, 900",900 Kennebec Ave,Takoma Park,20912,138351,-76.999778294,38.990637506,02/06/2017,,1,0,3,3,1.66,2.26,1,0.00,0.66,troubled,"(38.9906, -76.9998)"
17500,"Greenwood Avenue, 8205",8205 Greenwood Ave,Takoma Park,20912,139482,-77.000471414,38.99200215,10/12/2017,,1,0,1,1,10.00,1.70,0,0.00,0.00,troubled,"(38.992, -77.0005)"
13612,2215 Spencerville Road,2215 Spencerville Rd,Spencerville,20868,156069,-76.965770377,39.11578007,06/13/2019,,1,1,2,3,6.33,1.88,0,0.00,0.00,troubled,"(39.1158, -76.9658)"
17410,Glen Mont,4900 Battery Ln,Bethesda,20814,146537,-77.099128995,38.991875007,05/18/2018,,2,1,50,11,1.90,1.77,1,0.00,0.00,at-risk,"(38.9919, -77.0991)"
17286,"Kennebec Avenue, 903",903 Kennebec Ave,Takoma Park,20912,139608,-76.99942652,38.990244863,04/17/2017,,2,1,1,1,4.00,1.33,0,0.00,0.00,at-risk,"(38.9902, -76.9994)"
17997,"Garland Avenue, 8003",8003 Garland Ave,Takoma Park,20912,154048,-76.998529331,38.98980833,04/05/2019,,2,1,1,2,0.50,3.00,0,0.00,0.00,at-risk,"(38.9898, -76.9985)"
50866,Elms At Germantown,20426 Apple Harvest Cir,Germantown,20876,149968,-77.243382756,39.191612431,10/03/2018,,2,1,316,76,0.60,1.55,21,0.00,0.00,at-risk,"(39.1916, -77.2434)"
17361,Amherst Gardens,11430 Amherst Ave,Silver Spring,20902,152881,-77.048072763,39.04193808,04/02/2019,,1,1,22,22,7.04,1.93,0,0.13,0.00,troubled,"(39.0419, -77.0481)"
17421,Blair Park Gardens,7700 Blair Rd,Takoma Park,20912,146187,-77.023978007,38.983150258,03/20/2018,,1,0,74,19,2.15,2.19,0,0.21,0.21,troubled,"(38.9832, -77.024)"
113035,Oak Mill Apartments,20010 Frederick Rd,Germantown,20876,157508,0,0,06/29/2019,,3,1,400,373,1.13,1.35,121,0.02,0.03,compliant,"(0.0, 0.0)"
17397,Middlebrooke,5015 Battery Ln,Bethesda,20814,146531,-77.103371292,38.99131122,05/04/2018,,2,1,84,33,0.93,1.80,8,0.00,0.00,at-risk,"(38.9913, -77.1034)"
17713,Bradley Terrace,6903 Strathmore St,Chevy Chase,20815-6225,146180,-77.092381165,38.978555598,03/16/2018,,1,0,24,7,4.85,1.48,1,0.00,0.42,troubled,"(38.9786, -77.0924)"
96541,Central,8455 Fenton St,Silver Spring,20910,,-77.024017181,38.995050152,,,3,0,243,,,,,,,compliant,"(38.9951, -77.024)"
17557,Chadswood,1 Cross Laurel Ct,Germantown,20876,147586,-77.228997644,39.189670968,06/12/2018,,2,1,11,11,2.45,1.22,4,0.09,0.09,at-risk,"(39.1897, -77.229)"
108674,"8809 PLYMOUTH STREET, LLC",8809 PLYMOUTH ST,SILVER SPRING,20901,146671,-77.006710332,39.001134151,04/23/2018,,3,1,6,6,0.50,0.77,4,0.00,0.16,compliant,"(39.0011, -77.0067)"
17699,"Quebec Terrace, 1031",1031 Quebec Ter,Silver Spring,20903,139447,-76.986882069,39.00031264,05/04/2017,,1,0,4,4,3.75,1.80,0,0.00,0.25,troubled,"(39.0003, -76.9869)"
17589,Seneca Club Apartment,18065 Cottage Garden Dr,Germantown,20874,146575,-77.277286083,39.15318242,05/03/2018,,3,1,378,80,1.62,1.22,14,0.00,0.02,compliant,"(39.1532, -77.2773)"
18231,"Houston Avenue, 809",809 Houston Ave,Takoma Park,20912,139565,-77.000802123,38.991071357,04/24/2017,,2,0,2,2,1.50,1.66,0,0.00,0.00,at-risk,"(38.9911, -77.0008)"
17329,"Glenville Road, 8813",8813 Glenville Rd,Silver Spring,20901,154038,-76.996365117,39.000250189,04/10/2019,,3,1,8,5,1.60,0.90,2,0.00,0.00,compliant,"(39.0003, -76.9964)"
105579,Kensington Park Senior Living,3620 LITTLEDALE RD,KENSINGTON,20895,,-77.074482093,39.017840145,,,3,0,61,,,,,,,compliant,"(39.0178, -77.0745)"
17443,Foxhall Apartments,8715 Piney Branch Rd,Silver Spring,20901,149257,-76.995981627,38.998781191,08/30/2018,,1,0,263,59,1.45,1.75,17,0.20,0.00,troubled,"(38.9988, -76.996)"
17608,"Glenville Road, 8800",8800 Glenville Rd,Silver Spring,20901,151849,-76.997322243,38.999637884,11/29/2018,,3,1,7,4,0.75,0.75,1,0.00,0.00,compliant,"(38.9996, -76.9973)"
17316,"Quebec Terrace, 1027-1029",1027 Quebec Ter,Silver Spring,20903,139446,-76.989501727,38.999366581,04/17/2017,,1,0,8,8,6.87,1.56,0,0.00,0.12,troubled,"(38.9994, -76.9895)"
17478,"Garland Avenue, 8111",8111 Garland Ave,Takoma Park,20912,151013,-76.99918023,38.991291001,10/15/2018,,1,0,3,3,2.33,2.14,0,0.00,0.00,troubled,"(38.9913, -76.9992)"
17571,Knights Bridge I I,13516 Greencastle Ridge Ter,Burtonsville,20866,154259,-76.930229307,39.078803677,05/13/2019,,3,1,207,58,1.50,1.17,21,0.00,0.00,compliant,"(39.0788, -76.9302)"
96482,8417 Flower Ave,8417 Flower Ave,Takoma Park,20912,138932,-77.002251796,38.995242033,04/13/2017,,2,0,4,5,1.00,2.20,0,0.00,0.00,at-risk,"(38.9952, -77.0023)"
17170,Camp Hill Square,17825 Washington Grove Ln,Gaithersburg,20877,148732,-77.168088432,39.14843026,08/20/2018,,2,1,51,14,2.21,1.47,3,0.07,0.07,at-risk,"(39.1484, -77.1681)"
17773,"Glenville Road, 8817",8817 Glenville Rd,Silver Spring,20901,154236,-76.99634752,39.000480791,04/23/2019,,2,1,3,3,1.33,2.00,0,0.00,0.00,at-risk,"(39.0005, -76.9963)"
90366,UNIVERSITY GARDENS II,440 University Blvd E,Silver Spring,20901,154467,-76.99808373,39.007573111,05/03/2019,,3,1,27,7,0.00,0.00,7,0.00,0.00,compliant,"(39.0076, -76.9981)"
17579,Canterbury,20019 Sweetgum Cir,Germantown,20874,149264,-77.274388037,39.184751028,08/23/2018,,2,1,544,136,1.38,1.53,38,0.02,0.06,at-risk,"(39.1848, -77.2744)"
92816,"Garland Avenue, 8104",8104 Garland Ave,Takoma Park,20912,146195,-76.999598864,38.990895598,03/07/2018,,3,1,1,1,0.00,0.00,1,0.00,0.00,compliant,"(38.9909, -76.9996)"
17181,Parkside Terrace,500 Easley St,Silver Spring,20910,141005,-77.017048475,38.995228245,05/31/2017,,1,0,86,24,2.54,1.70,0,0.00,0.00,troubled,"(38.9952, -77.017)"
17729,"Avondale Street, 4534 & 4536",4534 Avondale St,Bethesda,20814,147571,-77.093801358,38.985852594,06/06/2018,,1,0,4,4,4.00,1.31,1,0.00,0.25,troubled,"(38.9859, -77.0938)"
95488,1019-1025 Quebec Terrace,1019 Quebec Ter,Silver Spring,20903,139443,-76.987839197,39.000167236,03/28/2017,,1,0,16,4,5.50,1.66,0,0.00,0.25,troubled,"(39.0002, -76.9878)"
101933,The Brody,4901 MONTGOMERY LN,BETHESDA,20814,,-77.097689165,38.983564975,,,3,0,112,,,,,,,compliant,"(38.9836, -77.0977)"
17988,Inverness Townhomes,7801 Coddle Harbor Ln,Potomac,20854,127772,-77.159227065,39.04285661,06/08/2015,,1,0,1,1,21.00,1.90,0,0.00,0.00,troubled,"(39.0429, -77.1592)"
17335,"Glenville Road, 8811",8811 Glenville Rd,Silver Spring,20901,154037,-76.996439008,39.000071714,05/06/2019,,1,1,7,8,4.75,1.86,0,0.12,0.12,troubled,"(39.0001, -76.9964)"
17518,Kennebec House,808 Kennebec Ave,Takoma Park,20912,139610,-77.000267371,38.99050024,03/21/2017,,1,0,5,3,2.66,1.62,0,0.00,0.00,troubled,"(38.9905, -77.0003)"
17813,"Plymouth Street, 8712",8712 Plymouth St,Silver Spring,20901,146663,-77.007776391,39.000137402,05/07/2018,,1,0,6,6,2.33,1.66,1,0.00,0.16,troubled,"(39.0001, -77.0078)"
17301,Sligo House Apartments,603 Sligo Ave,Silver Spring,20910,141074,-77.01366742,38.991291106,06/23/2017,,2,0,64,33,2.39,1.28,5,0.00,0.00,at-risk,"(38.9913, -77.0137)"
17346,"Avondale Street, 4522-24",4522 Avondale St,Bethesda,20814,146627,-77.093210369,38.985902474,03/30/2018,,2,1,7,7,2.42,1.47,0,0.00,0.00,at-risk,"(38.9859, -77.0932)"
